cpus=2
              ip-1803  [001] d.h3.   142.383766: funcgraph_entry:                   |                      update_curr() {
              ip-1803  [001] d.h3.   142.383767: funcgraph_entry:        0.200 us   |                        update_se(); (ret=0x33de3)
              ip-1803  [001] d.h3.   142.383767: funcgraph_exit:         0.650 us   |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383767: funcgraph_entry:                   |                      update_curr() {
              ip-1803  [001] d.h3.   142.383768: funcgraph_entry:        0.200 us   |                        update_se(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383768: funcgraph_exit:         0.650 us   |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383768: funcgraph_entry:                   |                      pick_eevdf() {
              ip-1803  [001] d.h3.   142.383768: funcgraph_entry:        0.210 us   |                        vruntime_eligible(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383769: funcgraph_entry:        0.210 us   |                        vruntime_eligible(); (ret=0x1)
              ip-1803  [001] d.h3.   142.383769: funcgraph_exit:         1.120 us   |                      } (ret=0xffff88d880a50080)
              ip-1803  [001] d.h3.   142.383770: funcgraph_entry:        0.230 us   |                      avg_vruntime(); (ret=0x26f49ea61)
              ip-1803  [001] d.h3.   142.383770: funcgraph_exit:         5.670 us   |                    } (ret=0x0)
              ip-1803  [001] d.h3.   142.383770: funcgraph_exit:         6.140 us   |                  } (ret=0x0)
              ip-1803  [001] d.h3.   142.383780: funcgraph_exit:       + 47.370 us  |                } (ret=0x0)
              ip-1803  [001] d.h3.   142.383780: funcgraph_entry:        0.260 us   |                _raw_spin_unlock(); (ret=0x0)
              ip-1803  [001] d.h2.   142.383781: funcgraph_exit:       + 50.370 us  |              } (ret=0x0)
              ip-1803  [001] d.h2.   142.383781: funcgraph_exit:       + 50.920 us  |            } (ret=0x0)
              ip-1803  [001] d.h2.   142.383781: funcgraph_exit:       + 51.380 us  |          } (ret=0x0)
              ip-1803  [001] d.h2.   142.383781: funcgraph_exit:       + 51.870 us  |        } (ret=0x0)
              ip-1803  [001] d.h2.   142.383782: funcgraph_entry:                   |        irq_exit_rcu() {
              ip-1803  [001] d..2.   142.383782: funcgraph_entry:        0.210 us   |          sched_core_idle_cpu(); (ret=0x0)
              ip-1803  [001] d..2.   142.383782: funcgraph_exit:         0.710 us   |        } (ret=0x0)
              ip-1803  [001] d..2.   142.383783: funcgraph_entry:        0.220 us   |        raw_irqentry_exit_cond_resched(); (ret=0x0)
              ip-1803  [001] d..2.   142.383785: funcgraph_entry:        0.260 us   |        irq_enter_rcu(); (ret=0x0)
              ip-1803  [001] d.h2.   142.383786: funcgraph_entry:                   |        __sysvec_irq_work() {
              ip-1803  [001] d.h2.   142.383786: funcgraph_entry:                   |          __wake_up() {
              ip-1803  [001] d.h2.   142.383786: funcgraph_entry:        0.210 us   |            _raw_spin_lock_irqsave(); (ret=0x86)
              ip-1803  [001] d.h3.   142.383787: funcgraph_entry:        0.220 us   |            __wake_up_common(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383787: funcgraph_entry:        0.220 us   |            _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1803  [001] d.h2.   142.383788: funcgraph_exit:         1.570 us   |          } (ret=0x0)
              ip-1803  [001] d.h2.   142.383788: funcgraph_entry:        0.220 us   |          _raw_spin_lock(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383788: funcgraph_entry:        0.220 us   |          _raw_spin_unlock(); (ret=0x0)
              ip-1803  [001] d.h2.   142.383789: funcgraph_entry:                   |          __wake_up() {
              ip-1803  [001] d.h2.   142.383789: funcgraph_entry:        0.220 us   |            _raw_spin_lock_irqsave(); (ret=0x86)
              ip-1803  [001] d.h3.   142.383789: funcgraph_entry:                   |            __wake_up_common() {
              ip-1803  [001] d.h3.   142.383790: funcgraph_entry:                   |              pollwake() {
